Date,IG
2024-01-17 00:00:00+00:00,-0.00586104
2024-01-18 00:00:00+00:00,-0.00309287
2024-01-19 00:00:00+00:00,0.00045066
2024-01-22 00:00:00+00:00,0.00588571
2024-01-23 00:00:00+00:00,-0.00744573
2024-01-24 00:00:00+00:00,-0.00498215
2024-01-25 00:00:00+00:00,0.00922911
2024-01-26 00:00:00+00:00,-0.00459432
2024-01-29 00:00:00+00:00,0.00845092
2024-01-30 00:00:00+00:00,0.00668965
2024-01-31 00:00:00+00:00,0.00501339
2024-02-01 00:00:00+00:00,0.01276321
2024-02-02 00:00:00+00:00,-0.01781282
2024-02-05 00:00:00+00:00,-0.01916840
2024-02-06 00:00:00+00:00,0.01248279
2024-02-07 00:00:00+00:00,-0.00578997
2024-02-08 00:00:00+00:00,-0.01116076
2024-02-09 00:00:00+00:00,-0.00273040
2024-02-12 00:00:00+00:00,-0.00076074
2024-02-13 00:00:00+00:00,-0.02179400
2024-02-14 00:00:00+00:00,0.00682726
2024-02-15 00:00:00+00:00,0.00801892
2024-02-16 00:00:00+00:00,-0.00707900
2024-02-20 00:00:00+00:00,0.00229087
2024-02-21 00:00:00+00:00,-0.00533092
2024-02-22 00:00:00+00:00,0.00450608
2024-02-23 00:00:00+00:00,0.00540865
2024-02-26 00:00:00+00:00,-0.00677172
2024-02-27 00:00:00+00:00,-0.00099329
2024-02-28 00:00:00+00:00,-0.00030627
2024-02-29 00:00:00+00:00,-0.00015305
2024-03-01 00:00:00+00:00,0.00688189
2024-03-04 00:00:00+00:00,0.00504661
2024-03-05 00:00:00+00:00,0.01097809
2024-03-06 00:00:00+00:00,0.00579558
2024-03-07 00:00:00+00:00,0.00345244
2024-03-08 00:00:00+00:00,0.00112242
2024-03-11 00:00:00+00:00,0.00059585
2024-03-12 00:00:00+00:00,-0.00487224
2024-03-13 00:00:00+00:00,-0.00360859
2024-03-14 00:00:00+00:00,-0.01317002
2024-03-15 00:00:00+00:00,-0.00000198
2024-03-18 00:00:00+00:00,-0.00416884
2024-03-19 00:00:00+00:00,0.00561813
2024-03-20 00:00:00+00:00,0.00242249
2024-03-21 00:00:00+00:00,0.00279859
2024-03-22 00:00:00+00:00,0.00672540
2024-03-25 00:00:00+00:00,-0.00700750
2024-03-26 00:00:00+00:00,-0.00060637
2024-03-27 00:00:00+00:00,0.00733135
2024-03-28 00:00:00+00:00,-0.00060317
