Date,FTSE250
2001-04-02 00:00:00+00:00,0.00032723
2001-04-03 00:00:00+00:00,-0.03108130
2001-04-04 00:00:00+00:00,-0.00647948
2001-04-05 00:00:00+00:00,0.02350000
2001-04-06 00:00:00+00:00,-0.00214168
2001-04-09 00:00:00+00:00,-0.00346363
2001-04-10 00:00:00+00:00,0.02329423
2001-04-11 00:00:00+00:00,0.01347379
2001-04-12 00:00:00+00:00,-0.00040561
2001-04-17 00:00:00+00:00,-0.00503002
2001-04-18 00:00:00+00:00,0.02277534
2001-04-19 00:00:00+00:00,0.01801512
2001-04-20 00:00:00+00:00,0.01610332
2001-04-23 00:00:00+00:00,0.00031636
2001-04-24 00:00:00+00:00,0.00624605
2001-04-25 00:00:00+00:00,-0.00614851
2001-04-26 00:00:00+00:00,0.00158140
2001-04-27 00:00:00+00:00,0.00971794
2001-04-30 00:00:00+00:00,0.02028461
2001-05-01 00:00:00+00:00,-0.00202382
2001-05-02 00:00:00+00:00,0.00748013
2001-05-03 00:00:00+00:00,-0.00263975
2001-05-04 00:00:00+00:00,0.00777363
2001-05-07 00:00:00+00:00,0.00000000
2001-05-08 00:00:00+00:00,0.01440297
2001-05-09 00:00:00+00:00,-0.00445948
2001-05-10 00:00:00+00:00,0.01140391
2001-05-11 00:00:00+00:00,-0.00367760
2001-05-14 00:00:00+00:00,-0.01074774
2001-05-15 00:00:00+00:00,0.00223835
2001-05-16 00:00:00+00:00,-0.00562794
2001-05-17 00:00:00+00:00,0.02551020
2001-05-18 00:00:00+00:00,0.00931298
2001-05-21 00:00:00+00:00,0.01109591
2001-05-22 00:00:00+00:00,0.01768440
2001-05-23 00:00:00+00:00,-0.00119868
2001-05-24 00:00:00+00:00,-0.00929535
2001-05-25 00:00:00+00:00,-0.00805844
2001-05-29 00:00:00+00:00,-0.00604961
2001-05-30 00:00:00+00:00,-0.00857100
2001-05-31 00:00:00+00:00,0.00259028
2001-06-01 00:00:00+00:00,0.01141205
2001-06-04 00:00:00+00:00,0.00090772
2001-06-05 00:00:00+00:00,0.00996748
2001-06-06 00:00:00+00:00,0.00270840
2001-06-07 00:00:00+00:00,0.00338092
2001-06-08 00:00:00+00:00,0.00112503
2001-06-11 00:00:00+00:00,-0.01289549
2001-06-12 00:00:00+00:00,-0.00203743
2001-06-13 00:00:00+00:00,-0.00415879
2001-06-14 00:00:00+00:00,-0.01381929
2001-06-15 00:00:00+00:00,-0.01216508
2001-06-18 00:00:00+00:00,0.00241621
2001-06-19 00:00:00+00:00,0.00520955
2001-06-20 00:00:00+00:00,-0.01504576
2001-06-21 00:00:00+00:00,-0.00328125
2001-06-22 00:00:00+00:00,-0.00399186
2001-06-25 00:00:00+00:00,0.00149008
2001-06-26 00:00:00+00:00,-0.02867889
2001-06-27 00:00:00+00:00,0.00588235
2001-06-28 00:00:00+00:00,-0.00443810
2001-06-29 00:00:00+00:00,0.01143765
2001-07-02 00:00:00+00:00,-0.00402844
2001-07-03 00:00:00+00:00,-0.00134547
2001-07-04 00:00:00+00:00,-0.00570162
2001-07-05 00:00:00+00:00,-0.02351072
2001-07-06 00:00:00+00:00,-0.01896192
2001-07-09 00:00:00+00:00,-0.00454324
2001-07-10 00:00:00+00:00,0.00869919
2001-07-11 00:00:00+00:00,-0.00785298
2001-07-12 00:00:00+00:00,0.01235371
2001-07-13 00:00:00+00:00,-0.00113086
2001-07-16 00:00:00+00:00,-0.00614290
2001-07-17 00:00:00+00:00,-0.01199935
2001-07-18 00:00:00+00:00,-0.01288744
2001-07-19 00:00:00+00:00,0.00607553
2001-07-20 00:00:00+00:00,-0.00180062
2001-07-23 00:00:00+00:00,-0.00802884
2001-07-24 00:00:00+00:00,-0.02154960
2001-07-25 00:00:00+00:00,-0.02228134
2001-07-26 00:00:00+00:00,-0.00050446
2001-07-27 00:00:00+00:00,0.01378846
2001-07-30 00:00:00+00:00,0.01837314
2001-07-31 00:00:00+00:00,0.01688183
2001-08-01 00:00:00+00:00,0.01912030
2001-08-02 00:00:00+00:00,0.02072328
2001-08-03 00:00:00+00:00,-0.00193112
2001-08-06 00:00:00+00:00,-0.00499195
2001-08-07 00:00:00+00:00,-0.01033091
2001-08-08 00:00:00+00:00,-0.00843745
2001-08-09 00:00:00+00:00,-0.01727228
2001-08-10 00:00:00+00:00,0.00493016
2001-08-13 00:00:00+00:00,0.00377049
2001-08-14 00:00:00+00:00,0.01080020
2001-08-15 00:00:00+00:00,0.00162760
2001-08-16 00:00:00+00:00,-0.00390307
2001-08-17 00:00:00+00:00,0.00032589
2001-08-20 00:00:00+00:00,0.00048884
2001-08-21 00:00:00+00:00,0.00781886
2001-08-22 00:00:00+00:00,-0.00146033
2001-08-23 00:00:00+00:00,0.00008118
2001-08-24 00:00:00+00:00,0.00884956
2001-08-27 00:00:00+00:00,0.00000000
2001-08-28 00:00:00+00:00,-0.00598125
2001-08-29 00:00:00+00:00,-0.00486460
2001-08-30 00:00:00+00:00,-0.01186413
2001-08-31 00:00:00+00:00,-0.00367888
2001-09-03 00:00:00+00:00,-0.00851621
2001-09-04 00:00:00+00:00,0.00172697
2001-09-05 00:00:00+00:00,-0.01455959
2001-09-06 00:00:00+00:00,-0.03286152
2001-09-07 00:00:00+00:00,-0.02844639
2001-09-10 00:00:00+00:00,-0.03806760
2001-09-11 00:00:00+00:00,-0.05376718
2001-09-12 00:00:00+00:00,-0.00715180
2001-09-13 00:00:00+00:00,0.00639294
2001-09-14 00:00:00+00:00,-0.01905699
2001-09-17 00:00:00+00:00,-0.02006567
2001-09-18 00:00:00+00:00,-0.01638124
2001-09-19 00:00:00+00:00,-0.01419379
2001-09-20 00:00:00+00:00,-0.03820311
2001-09-21 00:00:00+00:00,-0.04191617
2001-09-24 00:00:00+00:00,0.03041667
2001-09-25 00:00:00+00:00,0.03881925
