Date,R1000
2017-09-29 00:00:00+00:00,0.00326797
2017-10-02 00:00:00+00:00,0.00454312
2017-10-03 00:00:00+00:00,0.00341326
2017-10-04 00:00:00+00:00,0.00059529
2017-10-05 00:00:00+00:00,0.00407955
2017-10-06 00:00:00+00:00,-0.00177755
2017-10-09 00:00:00+00:00,-0.00373103
2017-10-10 00:00:00+00:00,0.00391523
2017-10-11 00:00:00+00:00,0.00016956
2017-10-12 00:00:00+00:00,-0.00423837
2017-10-13 00:00:00+00:00,-0.00017026
2017-10-16 00:00:00+00:00,0.00195828
2017-10-17 00:00:00+00:00,-0.00093474
2017-10-18 00:00:00+00:00,0.00153100
2017-10-19 00:00:00+00:00,0.00042463
2017-10-20 00:00:00+00:00,0.00526316
2017-10-23 00:00:00+00:00,-0.00219558
2017-10-24 00:00:00+00:00,0.00126947
2017-10-25 00:00:00+00:00,-0.00498690
2017-10-26 00:00:00+00:00,0.00169895
2017-10-27 00:00:00+00:00,-0.00067843
2017-10-30 00:00:00+00:00,-0.00483707
2017-10-31 00:00:00+00:00,-0.00008527
2017-11-01 00:00:00+00:00,0.00289954
2017-11-02 00:00:00+00:00,0.00017007
2017-11-03 00:00:00+00:00,0.00042510
2017-11-06 00:00:00+00:00,0.00220957
2017-11-07 00:00:00+00:00,-0.00262868
2017-11-08 00:00:00+00:00,-0.00017004
2017-11-09 00:00:00+00:00,-0.00238095
2017-11-10 00:00:00+00:00,-0.00161950
2017-11-13 00:00:00+00:00,0.00102450
2017-11-14 00:00:00+00:00,-0.00315565
2017-11-15 00:00:00+00:00,-0.00419233
2017-11-16 00:00:00+00:00,0.00670161
2017-11-17 00:00:00+00:00,-0.00076811
2017-11-20 00:00:00+00:00,0.00111035
2017-11-21 00:00:00+00:00,0.00400990
2017-11-22 00:00:00+00:00,-0.00042488
2017-11-24 00:00:00+00:00,0.00085012
2017-11-27 00:00:00+00:00,-0.00254820
2017-11-28 00:00:00+00:00,0.01371030
