Date,ALUMINIUM
2021-04-06 00:00:00+00:00,0.01391208
2021-04-07 00:00:00+00:00,0.00065862
2021-04-08 00:00:00+00:00,0.00493638
2021-04-09 00:00:00+00:00,-0.00589455
2021-04-12 00:00:00+00:00,0.00208631
2021-04-13 00:00:00+00:00,0.01008109
2021-04-14 00:00:00+00:00,0.01931005
2021-04-15 00:00:00+00:00,0.05512984
2021-04-16 00:00:00+00:00,-0.00931809
2021-04-19 00:00:00+00:00,0.00645913
2021-04-20 00:00:00+00:00,-0.00707796
2021-04-21 00:00:00+00:00,-0.00813008
2021-04-22 00:00:00+00:00,0.03076923
2021-04-23 00:00:00+00:00,0.01262954
2021-04-26 00:00:00+00:00,0.01097293
2021-04-27 00:00:00+00:00,0.00240359
2021-04-28 00:00:00+00:00,0.00321844
2021-04-29 00:00:00+00:00,0.01235209
2021-04-30 00:00:00+00:00,0.00709512
2021-05-04 00:00:00+00:00,0.00030631
2021-05-05 00:00:00+00:00,0.00357252
2021-05-06 00:00:00+00:00,0.02308788
2021-05-07 00:00:00+00:00,0.07267124
2021-05-10 00:00:00+00:00,0.01264345
2021-05-11 00:00:00+00:00,-0.01497663
2021-05-12 00:00:00+00:00,-0.00522952
2021-05-13 00:00:00+00:00,-0.02034657
2021-05-14 00:00:00+00:00,-0.02613535
2021-05-17 00:00:00+00:00,0.01857143
2021-05-18 00:00:00+00:00,0.00572331
2021-05-19 00:00:00+00:00,-0.04427058
2021-05-20 00:00:00+00:00,-0.01203479
2021-05-21 00:00:00+00:00,-0.04749797
2021-05-24 00:00:00+00:00,0.01150387
2021-05-25 00:00:00+00:00,-0.00932642
2021-05-26 00:00:00+00:00,0.01478095
2021-05-27 00:00:00+00:00,0.03267635
2021-05-28 00:00:00+00:00,0.02240664
2021-06-01 00:00:00+00:00,0.00845070
2021-06-02 00:00:00+00:00,-0.01557975
2021-06-03 00:00:00+00:00,-0.00618850
2021-06-04 00:00:00+00:00,-0.01173949
2021-06-07 00:00:00+00:00,0.01539097
2021-06-08 00:00:00+00:00,0.00000000
2021-06-09 00:00:00+00:00,0.00935910
2021-06-10 00:00:00+00:00,0.01431163
2021-06-11 00:00:00+00:00,-0.00589528
2021-06-14 00:00:00+00:00,0.01517740
2021-06-15 00:00:00+00:00,-0.00885748
2021-06-16 00:00:00+00:00,-0.02030255
2021-06-17 00:00:00+00:00,0.00601805
2021-06-18 00:00:00+00:00,-0.02647944
2021-06-21 00:00:00+00:00,-0.04022066
2021-06-22 00:00:00+00:00,0.02374316
2021-06-23 00:00:00+00:00,0.01073604
2021-06-24 00:00:00+00:00,0.01027929
2021-06-25 00:00:00+00:00,0.03879837
2021-06-28 00:00:00+00:00,0.00760989
2021-06-29 00:00:00+00:00,0.04095324
2021-06-30 00:00:00+00:00,-0.01119439
2021-07-01 00:00:00+00:00,-0.01376598
2021-07-02 00:00:00+00:00,0.00483998
2021-07-05 00:00:00+00:00,0.02034798
2021-07-06 00:00:00+00:00,-0.02466281
2021-07-07 00:00:00+00:00,0.00474121
2021-07-08 00:00:00+00:00,-0.01946520
2021-07-09 00:00:00+00:00,-0.00401043
2021-07-12 00:00:00+00:00,0.01147574
2021-07-13 00:00:00+00:00,0.00388137
2021-07-14 00:00:00+00:00,0.00473747
2021-07-15 00:00:00+00:00,0.00589391
2021-07-16 00:00:00+00:00,-0.00166994
2021-07-19 00:00:00+00:00,-0.05392927
2021-07-20 00:00:00+00:00,-0.00215164
2021-07-21 00:00:00+00:00,0.00120797
2021-07-22 00:00:00+00:00,0.01268371
2021-07-23 00:00:00+00:00,0.01600564
2021-07-26 00:00:00+00:00,0.02647030
2021-07-27 00:00:00+00:00,-0.01169188
2021-07-28 00:00:00+00:00,-0.00724278
2021-07-29 00:00:00+00:00,0.06925290
2021-07-30 00:00:00+00:00,0.03665968
2021-08-02 00:00:00+00:00,0.00331439
2021-08-03 00:00:00+00:00,-0.02321850
2021-08-04 00:00:00+00:00,-0.01425991
2021-08-05 00:00:00+00:00,-0.00734593
2021-08-06 00:00:00+00:00,0.01114849
2021-08-09 00:00:00+00:00,-0.02157590
2021-08-10 00:00:00+00:00,0.00650865
2021-08-11 00:00:00+00:00,0.00858990
2021-08-12 00:00:00+00:00,-0.00641148
2021-08-13 00:00:00+00:00,0.02581142
2021-08-16 00:00:00+00:00,-0.00437887
2021-08-17 00:00:00+00:00,0.01699933
2021-08-18 00:00:00+00:00,-0.04030728
2021-08-19 00:00:00+00:00,-0.00839768
2021-08-20 00:00:00+00:00,0.00859073
2021-08-23 00:00:00+00:00,0.01534749
2021-08-24 00:00:00+00:00,0.00641517
2021-08-25 00:00:00+00:00,0.00564496
2021-08-26 00:00:00+00:00,-0.00737265
2021-08-27 00:00:00+00:00,0.02135197
2021-08-31 00:00:00+00:00,0.06290693
2021-09-01 00:00:00+00:00,-0.00474453
2021-09-02 00:00:00+00:00,0.01316516
2021-09-03 00:00:00+00:00,-0.01135847
2021-09-06 00:00:00+00:00,0.04549632
2021-09-07 00:00:00+00:00,0.00314211
2021-09-08 00:00:00+00:00,0.00894935
2021-09-09 00:00:00+00:00,0.04062445
2021-09-10 00:00:00+00:00,0.01330532
2021-09-13 00:00:00+00:00,0.03800968
2021-09-14 00:00:00+00:00,-0.05034953
2021-09-15 00:00:00+00:00,0.05383875
2021-09-16 00:00:00+00:00,-0.01921769
2021-09-17 00:00:00+00:00,0.00772864
2021-09-20 00:00:00+00:00,-0.02538462
2021-09-21 00:00:00+00:00,0.00279135
2021-09-22 00:00:00+00:00,0.04807276
2021-09-23 00:00:00+00:00,0.01827411
2021-09-24 00:00:00+00:00,-0.00923501
2021-09-27 00:00:00+00:00,-0.02786170
2021-09-28 00:00:00+00:00,0.01187222
2021-09-29 00:00:00+00:00,0.01130039
2021-09-30 00:00:00+00:00,-0.03367570
2021-10-01 00:00:00+00:00,-0.01538067
2021-10-04 00:00:00+00:00,0.00980647
2021-10-05 00:00:00+00:00,0.01143004
2021-10-06 00:00:00+00:00,-0.00322882
2021-10-07 00:00:00+00:00,0.00187537
2021-10-08 00:00:00+00:00,0.04466945
2021-10-11 00:00:00+00:00,0.02032726
