Date,US10U
2017-07-05 00:00:00+00:00,-0.00200087
2017-07-06 00:00:00+00:00,-0.00037736
2017-07-07 00:00:00+00:00,-0.00398129
2017-07-09 00:00:00+00:00,-0.00026215
2017-07-10 00:00:00+00:00,0.00008788
2017-07-11 00:00:00+00:00,-0.00037963
2017-07-12 00:00:00+00:00,0.00324033
2017-07-13 00:00:00+00:00,0.00253166
2017-07-14 00:00:00+00:00,-0.00130571
2017-07-16 00:00:00+00:00,0.00171486
2017-07-17 00:00:00+00:00,-0.00060926
2017-07-18 00:00:00+00:00,0.00182793
2017-07-19 00:00:00+00:00,0.00298210
2017-07-20 00:00:00+00:00,0.00043038
2017-07-21 00:00:00+00:00,0.00123788
2017-07-23 00:00:00+00:00,0.00181297
2017-07-24 00:00:00+00:00,-0.00072352
2017-07-25 00:00:00+00:00,-0.00095421
2017-07-26 00:00:00+00:00,-0.00614298
2017-07-27 00:00:00+00:00,0.00344996
2017-07-28 00:00:00+00:00,-0.00153306
2017-07-30 00:00:00+00:00,0.00159112
2017-07-31 00:00:00+00:00,-0.00049251
2017-08-01 00:00:00+00:00,-0.00153372
2017-08-02 00:00:00+00:00,0.00367676
2017-08-03 00:00:00+00:00,0.00020067
2017-08-04 00:00:00+00:00,0.00320073
2017-08-06 00:00:00+00:00,-0.00394021
2017-08-07 00:00:00+00:00,-0.00002936
2017-08-08 00:00:00+00:00,0.00112524
2017-08-09 00:00:00+00:00,0.00031676
2017-08-10 00:00:00+00:00,0.00031686
2017-08-11 00:00:00+00:00,0.00400479
2017-08-13 00:00:00+00:00,0.00020071
2017-08-14 00:00:00+00:00,-0.00094665
2017-08-15 00:00:00+00:00,-0.00255572
2017-08-16 00:00:00+00:00,-0.00256156
2017-08-17 00:00:00+00:00,0.00297373
2017-08-18 00:00:00+00:00,0.00330977
2017-08-20 00:00:00+00:00,-0.00117535
2017-08-21 00:00:00+00:00,0.00066157
2017-08-22 00:00:00+00:00,-0.00014299
2017-08-23 00:00:00+00:00,-0.00048694
2017-08-24 00:00:00+00:00,0.00238313
2017-08-25 00:00:00+00:00,-0.00048660
2017-08-27 00:00:00+00:00,0.00146161
2017-08-28 00:00:00+00:00,0.00042910
2017-08-29 00:00:00+00:00,0.00386046
2017-08-30 00:00:00+00:00,-0.00196555
2017-08-31 00:00:00+00:00,-0.00002789
2017-09-01 00:00:00+00:00,0.00179861
2017-09-03 00:00:00+00:00,-0.00606797
2017-09-04 00:00:00+00:00,0.00088914
2017-09-05 00:00:00+00:00,-0.00105896
2017-09-06 00:00:00+00:00,0.00639170
2017-09-07 00:00:00+00:00,-0.00219383
2017-09-08 00:00:00+00:00,0.00670761
2017-09-10 00:00:00+00:00,-0.00547311
2017-09-11 00:00:00+00:00,-0.00037120
2017-09-12 00:00:00+00:00,-0.00402170
2017-09-13 00:00:00+00:00,-0.00163248
2017-09-14 00:00:00+00:00,-0.00278255
2017-09-15 00:00:00+00:00,0.00031630
2017-09-17 00:00:00+00:00,-0.00186873
2017-09-18 00:00:00+00:00,-0.00060456
2017-09-19 00:00:00+00:00,-0.00072064
2017-09-20 00:00:00+00:00,-0.00141333
2017-09-21 00:00:00+00:00,-0.00337861
2017-09-22 00:00:00+00:00,0.00217355
2017-09-24 00:00:00+00:00,-0.00095376
2017-09-25 00:00:00+00:00,0.00089759
2017-09-26 00:00:00+00:00,0.00286145
2017-09-27 00:00:00+00:00,-0.00279711
2017-09-28 00:00:00+00:00,-0.00847062
2017-09-29 00:00:00+00:00,0.00276947
2017-10-01 00:00:00+00:00,-0.00177375
2017-10-02 00:00:00+00:00,-0.00096097
2017-10-03 00:00:00+00:00,0.00113654
2017-10-04 00:00:00+00:00,0.00195025
